time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,15,5,0,0
2026-04-30 00:00:00+00:00,12,6,1,1
2026-05-01 00:00:00+00:00,26,6,0,0
2026-05-02 00:00:00+00:00,10,4,0,0
2026-05-03 00:00:00+00:00,17,8,0,0
2026-05-04 00:00:00+00:00,5,4,0,0
2026-05-05 00:00:00+00:00,9,3,0,0
2026-05-06 00:00:00+00:00,29,11,0,0
2026-05-07 00:00:00+00:00,10,4,0,0
2026-05-08 00:00:00+00:00,38,12,0,0
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,13,4,0,0
2026-05-11 00:00:00+00:00,19,6,0,0
2026-05-12 00:00:00+00:00,20,5,0,0
