time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,17,7,4,1
2026-04-27 00:00:00+00:00,25,10,0,0
2026-04-28 00:00:00+00:00,22,7,0,0
2026-04-29 00:00:00+00:00,15,5,0,0
2026-04-30 00:00:00+00:00,12,6,1,1
2026-05-01 00:00:00+00:00,26,6,0,0
2026-05-02 00:00:00+00:00,10,4,0,0
2026-05-03 00:00:00+00:00,17,8,0,0
2026-05-04 00:00:00+00:00,5,4,0,0
2026-05-05 00:00:00+00:00,9,3,0,0
2026-05-06 00:00:00+00:00,29,11,0,0
2026-05-07 00:00:00+00:00,10,4,0,0
2026-05-08 00:00:00+00:00,38,12,0,0
2026-05-09 00:00:00+00:00,9,4,0,0
