time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,5,4,0,0
2026-05-05 00:00:00+00:00,9,3,0,0
2026-05-06 00:00:00+00:00,29,11,0,0
2026-05-07 00:00:00+00:00,10,4,0,0
2026-05-08 00:00:00+00:00,38,12,0,0
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,13,4,0,0
2026-05-11 00:00:00+00:00,19,6,0,0
2026-05-12 00:00:00+00:00,20,5,0,0
2026-05-13 00:00:00+00:00,15,4,0,0
2026-05-14 00:00:00+00:00,14,5,0,0
2026-05-15 00:00:00+00:00,30,9,0,0
2026-05-16 00:00:00+00:00,21,8,0,0
2026-05-17 00:00:00+00:00,39,10,0,0
